Dest Lat,Dest Long,Source Lat,Source Lon
-20.7122,116.773,-37.6733,144.843
-20.3778,118.626,-37.6733,144.843
-20.3581,148.952,-37.6733,144.843
-19.2525,146.765,-37.6733,144.843
-17.9447,122.232,-37.6733,144.843
-17.7554,177.44299,-37.6733,144.843
-16.8858,145.755,-37.6733,144.843
-12.4147,130.877,-37.6733,144.843
-8.74817,115.167,-37.6733,144.843
-6.12557,106.656,-37.6733,144.843
1.35019,103.994,-37.6733,144.843
2.74558,101.71,-37.6733,144.843
4.9442,114.928,-37.6733,144.843
8.1132,98.3169,-37.6733,144.843
10.8188,106.652,-37.6733,144.843
13.6811,100.747,-37.6733,144.843
14.5086,121.02,-37.6733,144.843
21.32062,-157.92423,-37.6733,144.843
22.3089,113.915,-37.6733,144.843
23.3924,113.299,-37.6733,144.843
24.433,54.6511,-37.6733,144.843
25.2528,55.3644,-37.6733,144.843
28.5665,77.1031,-37.6733,144.843
30.5785,103.947,-37.6733,144.843
31.1434,121.805,-37.6733,144.843
33.9425,-118.408,-37.6733,144.843
35.7647,140.386,-37.6733,144.843
-43.4894,172.532,-37.6719,176.196
-41.3272,174.80499,-37.6719,176.196
-37.0081,174.79201,-37.6719,176.196
-45.9281,170.198,-37.0081,174.79201
-45.0211,168.739,-37.0081,174.79201
-43.4894,172.532,-37.0081,174.79201
-41.5183,173.87,-37.0081,174.79201
-41.3272,174.80499,-37.0081,174.79201
-41.2983,173.22099,-37.0081,174.79201
-40.9047,174.989,-37.0081,174.79201
-40.3206,175.617,-37.0081,174.79201
-39.9622,175.02499,-37.0081,174.79201
-39.4658,176.86999,-37.0081,174.79201
-39.0086,174.179,-37.0081,174.79201
-38.7397,176.084,-37.0081,174.79201
-38.6633,177.978,-37.0081,174.79201
-38.1092,176.317,-37.0081,174.79201
-37.9206,176.914,-37.0081,174.79201
-37.8667,175.332,-37.0081,174.79201
-37.6733,144.843,-37.0081,174.79201
-37.6719,176.196,-37.0081,174.79201
-35.7683,174.36501,-37.0081,174.79201
-35.2628,173.912,-37.0081,174.79201
-35.07,173.285,-37.0081,174.79201
-34.945,138.53101,-37.0081,174.79201
-33.9461,151.177,-37.0081,174.79201
-33.393,-70.7858,-37.0081,174.79201
-31.9403,115.967,-37.0081,174.79201
-28.1644,153.505,-37.0081,174.79201
-27.3842,153.117,-37.0081,174.79201
-22.0146,166.213,-37.0081,174.79201
-21.2412,-175.14999,-37.0081,174.79201
-21.2027,-159.806,-37.0081,174.79201
-17.7554,177.44299,-37.0081,174.79201
-17.6993,168.32001,-37.0081,174.79201
-17.5537,-149.60699,-37.0081,174.79201
-16.8858,145.755,-37.0081,174.79201
-13.83,-172.008,-37.0081,174.79201
1.35019,103.994,-37.0081,174.79201
2.74558,101.71,-37.0081,174.79201
13.6811,100.747,-37.0081,174.79201
22.3089,113.915,-37.0081,174.79201
23.3924,113.299,-37.0081,174.79201
31.1434,121.805,-37.0081,174.79201
33.9425,-118.408,-37.0081,174.79201
35.7647,140.386,-37.0081,174.79201
37.4691,126.451,-37.0081,174.79201
37.619,-122.375,-37.0081,174.79201
-37.6733,144.843,-36.9086,149.901
-35.8978,150.144,-36.9086,149.901
-33.9461,151.177,-36.9086,149.901
-41.4389,-73.094,-36.7727,-73.0631
-39.65,-73.0861,-36.7727,-73.0631
-38.7668,-72.6371,-36.7727,-73.0631
-33.393,-70.7858,-36.7727,-73.0631
-34.5883,-68.4039,-36.5883,-64.2757
